id,word,defTh,defEn,type,ipa_us,ipa_uk,cefr,example,audioTh,audioEn,audio_example,image
0,a,"หนึ่ง, อัน, ตัว",used before countable or singular nouns referring to people or things that have not already been mentioned,indefinite article,/ə/,/ə/,A1,a man/horse/unit,,,,
1,abandon,"ละทิ้ง, ทอดทิ้ง","to leave somebody, especially somebody you are responsible for, with no intention of returning",verb,/əˈbændən/,/əˈbændən/,B2,"abandon somebody, The baby had been abandoned by its mother.",,,,1_b2_abandon.jpg
2,ability,"ความสามารถ, สมรรถภาพ",the fact that somebody/something is able to do something,noun,/əˈbɪləti/,/əˈbɪləti/,A2,People with the disease may lose their ability to communicate.,,,,2_a2_ability.jpg
3,able,สามารถทำได้,"to have the skill, intelligence, opportunity, etc. needed to do something",adjective,/ˈeɪbl/,/ˈeɪbl/,A2,You must be able to speak French for this job.,,,,
4,abolish,ยกเลิก,"to officially end a law, a system or an institution",verb,/əˈbɑːlɪʃ/,/əˈbɒlɪʃ/,C1,This tax should be abolished.,,,,4_c1_abolish.jpg
5,abortion,การทำแท้ง,the deliberate ending of a pregnancy at an early stage,noun,/əˈbɔːrʃn/,/əˈbɔːʃn/,C1,to support/oppose abortion,,,,
6,about,เกี่ยวกับ,a little more or less than; a little before or after,adverb,/əˈbaʊt/,/əˈbaʊt/,A1,It costs about $10.,,,,
7,above,ข้างบน,at or to a higher place,adverb,/əˈbʌv/,/əˈbʌv/,A1,Put it on the shelf above.,,,,7_a1_above.jpg
8,abroad,"ต่างประเทศ, นอกประเทศ",in or to a foreign country,adverb,/əˈbrɔːd/,/əˈbrɔːd/,A2,to go/travel/live/study abroad ,,,,8_a2_abroad.jpg
9,absence,"การขาด, ไม่มี",the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away,noun,/ˈæbsəns/,/ˈæbsəns/,C1,"in somebody's absence, The decision was made in my absence (= while I was not there).",,,,9_c1_absence.jpg
10,absent,"ขาด, ไม่อยู่","not in a place because of illness, etc.",adjective,/ˈæbsənt/,/ˈæbsənt/,C1,He was absent from work for two weeks.,,,,10_c1_absent.jpg
11,absolute,"สมบูรณ์, เด็ดขาด",total and complete,adjective,/ˈæbsəluːt/,/ˈæbsəluːt/,B2,I've joined a class for absolute beginners.,,,,
12,absolutely,อย่างแน่นอน,used to emphasize that something is completely true,adverb,/ˈæbsəluːtli/,/ˈæbsəluːtli/,B1,You're absolutely right.,,,,
13,absorb,"ดูดซับ, ซึมซับ","to take in a liquid, gas or other substance from the surface or space around",verb,/əbˈzɔːrb/,/əbˈzɔːb/,B2,"absorb something, Plants absorb carbon dioxide from the air.",,,,13_b2_absorb.jpg
14,abstract,เชิงนามธรรม,"based on general ideas and not on any particular real person, thing or situation",adjective,/ˈæbstrækt/,/ˈæbstrækt/,B2,abstract knowledge/principles,,,,14_b2_abstract.jpg
15,absurd,ไร้สาระ,extremely silly; not logical and sensible,adjective,/əbˈsɜːrd/,/əbˈsɜːd/,C1,That uniform makes the guards look absurd.,,,,15_c1_absurd.jpg
16,abundance,ความอุดมสมบูรณ์,a large quantity that is more than enough,noun,/əˈbʌndəns/,/əˈbʌndəns/,C1,The brochure promised beautiful walks with an abundance of wildlife.,,,,
17,abuse,"ทารุณกรรม, ข่มเหง",the use of something in a way that is wrong or harmful,noun,/əˈbjuːs/,/əˈbjuːs/,C1,alcohol/drug abuse,,,,17_c1_abuse.jpg
18,academic,เชิงวิชาการ,"connected with education, especially studying in schools and universities",adjective,/ˌækəˈdemɪk/,/ˌækəˈdemɪk/,B1,high/low academic standards,,,,18_b1_academic.jpg
19,academy,สถาบันการศึกษา,a school or college for special training,noun,/əˈkædəmi/,/əˈkædəmi/,C1,She trained at the Royal Academy of Music.,,,,19_c1_academy.jpg
20,accelerate,เร่งความเร็ว,to happen faster or earlier; to make something happen faster or earlier,verb,/əkˈseləreɪt/,/əkˈseləreɪt/,C1,Inflation continues to accelerate.,,,,20_c1_accelerate.jpg
21,accent,"สำเนียง, เน้น","a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language",noun,/ˈæksent/,/ˈæksent/,B2,a northern/Dublin/Scottish accent,,,,21_b2_accent.jpg
22,accept,"ยอมรับ (สิ่งของ, ข้อเสนอ), รับ","to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.",verb,/əkˈsept/,/əkˈsept/,A2,He asked me to marry him and I accepted.,,,,22_a2_accept.jpg
23,acceptable,ยอมรับได้,agreed or approved of by most people in a society,adjective,/əkˈseptəbl/,/əkˈseptəbl/,B2,Children must learn socially acceptable behaviour.,,,,
24,acceptance,การยอมรับ,"the act of accepting a gift, an invitation, an offer, etc.",noun,/əkˈseptəns/,/əkˈseptəns/,C1,Please confirm your acceptance of this offer in writing.,,,,24_c1_acceptance.jpg
25,access,"การเข้าถึง, เข้าถึง",the opportunity or right to use something or to see somebody/something,noun,/ˈækses/,/ˈækses/,B1,High-speed internet access has become a necessity.,,,,25_b1_access.jpg
26,accessible,เข้าถึงได้,"that can be reached, entered, used, seen, etc.",adjective,/əkˈsesəbl/,/əkˈsesəbl/,C1,The remote desert area is accessible only by helicopter.,,,,
27,accident,"อุบัติเหตุ, เหตุร้าย","an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage",noun,/ˈæksɪdənt/,/ˈæksɪdənt/,A2,a car/road/traffic accident,,,,27_a2_accident.jpg
28,accidentally,โดยบังเอิญ,by chance; in a way that was not planned,adverb,/ˌæksɪˈdentəli/,/ˌæksɪˈdentəli/,B2,"As I turned around, I accidentally hit him in the face.",,,,
29,accommodate,รองรับ,"to provide somebody with a room or place to sleep, live or sit",verb,/əˈkɑːmədeɪt/,/əˈkɒmədeɪt/,B2,The hotel can accommodate up to 500 guests.,,,,29_b2_accommodate.jpg
30,accommodation,"ที่พัก, การปรับตัว","a place to live, work or stay in",noun,/əˌkɑːməˈdeɪʃn/,/əˌkɒməˈdeɪʃn/,B1,rented/temporary accommodation,,,,
31,accompany,"ไปกับ, ร่วม",to travel or go somewhere with somebody/something,verb,/əˈkʌmpəni/,/əˈkʌmpəni/,B2,"accompany somebody/something + adv./prep., His wife accompanied him on the trip.",,,,31_b2_accompany.jpg
32,accomplish,ทำให้สำเร็จ,to succeed in doing or completing something,verb,/əˈkɑːmplɪʃ/,/əˈkʌmplɪʃ/,B2,The first part of the plan has been safely accomplished.,,,,32_b2_accomplish.jpg
